,vehicle_id,start_time,stop_time
0,417265,44188,44188
1,417265,49678,49678
2,417265,68354,83200
3,550606,24185,24185
4,550606,38550,58478
5,550606,61587,86373
6,638428,63043,82392
7,620539,4,13030
8,620539,39853,39853
9,620539,42767,58429
10,620539,61515,86330
11,502520,17,7842
12,502520,67806,82382
13,502520,85644,86388
14,481651,41761,58396
15,481651,61507,83454
16,579073,69699,72208
17,579073,73440,84117
18,612991,24906,57581
19,612991,71066,83439
20,559431,453,1091
21,559431,40662,40662
22,559431,67831,70577
23,559431,72063,86393
24,272464,29963,29963
25,272464,32224,33399
26,331158,39636,58099
27,331158,61521,86398
28,579335,43340,49635
29,579335,53753,58183
30,579335,61532,82981
31,583796,322,322
32,583796,38350,58436
33,583796,61946,84549
34,118057,68903,82853
35,605593,43594,57748
36,403415,38713,38713
37,403415,40025,57526
38,403415,63877,66291
39,515640,22,494
40,515640,43220,43220
41,515640,46215,58430
42,515640,69192,75501
43,283558,48,2208
44,283558,41120,58483
45,283558,64077,64460
46,283558,66914,68925
47,283558,70420,86376
48,636565,43226,58475
49,636565,61583,75636
50,636565,78105,86382
51,375209,67861,83400
52,180911,41148,54660
53,180911,68788,82883
54,240437,44706,53895
55,240437,55296,58482
56,240437,61542,62308
57,240437,66235,69162
58,240437,73844,79451
59,626108,63742,63742
60,626108,71410,75549
61,610021,72020,82849
62,161043,22388,22688
63,161043,42234,58462
64,161043,61545,65873
65,161043,67533,84648
66,593909,68001,82747
67,390496,40703,40703
68,390496,43368,58340
69,390496,66211,82467
70,632138,64362,83265
71,334018,43783,43783
72,334018,68527,82707
73,571512,69826,81500
74,606135,68973,74505
75,606135,75764,83875
76,508834,66898,78240
77,508834,81434,81452
78,619003,67471,82961
79,163075,25162,58456
80,624223,67712,67712
81,624223,69372,84186
82,281745,42904,58397
83,281745,61580,82864
84,489770,32889,48851
85,489770,54139,58200
86,489770,61519,82874
87,608756,190,2867
88,636874,44,44
89,636874,2128,2130
90,636874,3584,3587
91,636874,54475,58450
92,636874,61888,86364
93,437134,41503,41503
94,437134,42716,56600
95,437134,62660,83096
96,505655,219,464
97,505655,67235,83753
98,567638,25843,58316
99,567638,61529,76331
100,633413,43075,56869
101,633413,61521,79624
102,473967,39386,58469
103,473967,61568,70239
104,473967,71452,83698
105,159944,47563,48269
106,159944,67364,82279
107,159944,84072,84072
108,567953,42916,54441
109,567953,67709,83816
110,420986,13,3484
111,420986,68357,69622
112,420986,71315,86219
113,349700,67566,70330
114,349700,72287,84175
115,384349,34363,34363
116,384349,68108,82995
117,580801,33,1381
118,580801,39206,58015
119,580801,62085,71469
120,580801,73044,85631
121,564021,45403,45412
122,564021,48016,48016
123,564021,63916,67277
124,564021,68557,82858
125,521422,67836,83384
126,485338,38075,57218
127,576796,68348,82871
128,616049,45217,57146
129,636436,164,3164
130,636436,38101,55048
131,636436,56956,58361
132,636436,61554,84491
133,330280,68069,83503
134,559872,32,10669
135,559872,67930,69959
136,559872,71547,86396
137,577886,20,107
138,577886,43075,57458
139,577886,61510,65922
140,577886,68050,71691
141,459775,69,11454
142,459775,48887,51501
143,459775,53159,55025
144,459775,56739,58180
145,459775,63710,68050
146,459775,69700,86370
147,383272,34922,58040
148,383272,61561,65097
